id_mu;rural_pop;urban_pop;illiteracy;water;sewerage;garbage;poverty;income;population
230010;5944;4552;28.4;10465;839;4068;72.32;227.31;10496
230015;7356;7982;21.5;15324;6143;9520;66.74;256.06;15338
230020;29309;28242;28.3;57328;9423;24977;75.98;246.49;57551
230030;25932;25228;32.9;51002;9204;23272;68.91;263.74;51160
230040;12252;3951;34.3;16169;1581;7653;75.11;199.36;16203
230050;7323;3448;28.3;10744;2233;4719;67.34;243.41;10771
230060;1899;4957;33.1;6842;881;5123;72.73;237.25;6856
230070;8318;8041;28.5;16288;2096;6394;64.32;262.88;16359
230075;23285;15947;25;39117;3658;12182;79.35;181.48;39232
230080;1985;4999;31.5;6970;2602;4192;70.12;240.49;6984
230090;8153;5772;25.2;13911;327;6787;71.55;221.72;13925
230100;5545;67083;20.1;71169;25848;53099;57.72;344.5;72628
230110;25124;44035;19.3;68837;3085;49785;60.19;343.59;69159
230120;11654;13737;29.9;25320;4555;12886;69.5;240.12;25391
230125;5585;4906;34.2;10460;1631;4577;74.82;199.92;10491
230130;7952;12733;31.1;20619;2928;11922;76.46;193.18;20685
230140;7760;3769;24.3;11462;2083;3820;73.01;215.94;11529
230150;3771;3879;30;7617;1772;4252;69.81;269.68;7650
230160;10493;11952;31.3;22376;4559;11535;67.97;278.47;22445
230170;12741;11825;26.8;24508;2982;11352;67.63;252.34;24566
230180;2722;3304;23.8;5999;89;3393;63.04;264.79;6026
230185;8562;8753;27.8;17285;3034;8024;74.67;225.1;17315
230190;17301;38022;17.6;55134;9802;38305;57.79;361.63;55323
230195;11446;8127;25.7;19529;2519;8820;70.1;241.79;19573
230200;8354;13160;23.5;21450;2197;11253;67.53;249.5;21514
230205;4706;9770;35.7;14402;2983;7009;78.68;191.16;14476
230210;8884;24437;21.8;33198;14855;23876;62.97;279.97;33321
230220;27700;21611;24.5;49164;5672;29167;64.75;301.5;49311
230230;17881;12997;25.1;30756;5959;12475;75.24;219.61;30878
230240;25894;26604;32.3;52339;20196;22796;71.62;246.69;52498
230250;17138;28055;21.6;44979;26839;30753;62.13;318.84;45193
230260;15501;44657;26.3;59879;18060;42548;72.62;259.47;60158
230270;7425;19081;26.8;26406;5989;18186;66.68;300.07;26506
230280;27598;46875;23.6;74214;17220;43846;71.13;267.23;74473
230290;10850;6212;25.4;17030;2653;6057;76.1;202.69;17062
230300;8497;11523;28.3;19964;2010;11026;74.63;201.93;20020
230310;10046;8301;29;18313;1147;9033;72.53;223.75;18347
230320;12362;14031;29.7;26363;4212;13558;69.49;241.49;26393
230330;10257;8310;31.4;18531;2260;9700;68.1;237.33;18567
230340;8786;7960;29;16714;390;9052;74.51;220.78;16746
230350;9985;56157;21.4;65933;9530;43156;60.68;304.07;66142
230360;10017;8728;30.3;18671;3166;9130;72.13;243.71;18745
230365;4557;5395;26.6;9935;163;4891;76.18;221.12;9952
230370;35221;290220;12.4;324108;182153;264161;53.35;366.8;325441
230380;9368;15159;28.2;24476;2135;13519;63.39;313.61;24527
230390;3447;9168;31.8;12560;899;7856;74.71;205.38;12615
230393;9059;3794;31.6;12788;1441;2771;79.7;167.46;12853
230395;7489;11426;27.9;18836;916;11631;66.41;275.03;18915
230400;7731;14223;35.7;21905;3695;9074;74.88;208.29;21954
230410;20168;52644;24.5;72510;34691;44386;61.86;366.61;72812
230420;20512;100916;13.9;120592;50771;99790;51.76;459.98;121428
230423;8031;9038;35.5;17040;3873;10187;80.39;167.75;17069
230425;12910;9569;24.6;22385;1410;12291;68.53;279.42;22479
230426;4962;4133;32.2;9065;187;3925;65.44;230.02;9095
230427;3382;3458;30.5;6822;1308;3338;66.74;239.92;6840
230428;0;46033;13.3;45728;14762;42910;50.8;605.08;46033
230430;10136;8871;27.1;18984;2296;12132;70.94;227.42;19007
230435;6313;15473;24.4;21736;15628;15190;60.88;291.33;21786
230440;0;2452185;6.8;2427498;1792835;2394741;35.26;812.61;2452185
230445;5209;9608;25.2;14743;314;10602;68.23;261.19;14817
230450;5355;7636;32.5;12956;1485;8283;71.19;244.39;12991
230460;2570;3648;31.7;6120;224;4460;71.49;239.32;6218
230465;9234;5815;34.5;15010;876;5948;75;192.89;15049
230470;26753;25892;39.2;52417;6448;16999;82.8;170.49;52645
230480;3259;1370;28.2;4619;1168;1629;70.11;221.06;4629
230490;3152;7076;24;10195;2743;6666;61.07;303.35;10228
230495;5214;18877;22.5;24056;4578;16648;70.77;231.79;24091
230500;20372;17403;28;37725;2877;17050;71.7;242.8;37775
230510;1669;2495;17.5;4106;2984;3506;65.14;281.61;4164
230520;8271;11054;28.9;19284;1265;10921;68.39;241.33;19325
230523;4138;51049;15.3;55043;7464;49898;55.72;317.75;55187
230526;8475;4447;32.5;12879;385;4585;76.69;199.25;12922
230530;13065;10743;23.6;23760;4126;11623;67.28;255.58;23808
230533;5593;5742;27.8;11285;1716;5561;76.54;192.66;11335
230535;12605;5787;25.4;18273;2723;15024;64.72;277.5;18392
230540;34993;30463;30.4;65291;22689;30968;66.87;268.98;65456
230550;21868;74627;22.2;96176;26380;73399;51.03;426.08;96495
230560;14100;11473;27.4;25484;7654;10549;69.04;257.47;25573
230565;7207;4136;35.6;11325;227;3525;76.56;178.98;11343
230570;4876;7133;26.3;11973;1804;7515;64.92;372.75;12009
230580;14715;25581;27.6;40180;2877;23535;66.82;295.1;40296
