municipio_id;rain;year
230010;1048;2020
230010;1178;2019
230010;1175;2018
230010;949;2017
230010;818;2016
230015;1249;2020
230015;1030;2019
230015;1103.5;2018
230015;1323;2017
230015;573;2016
230020;1313.4;2020
230020;1945.5;2019
230020;1070.2;2018
230020;1079.2;2017
230020;971.2;2016
230030;770.4;2020
230030;465;2019
230030;570.8;2018
230030;415.7;2017
230030;426.7;2016
230040;781.5;2020
230040;509.1;2019
230040;577.7;2018
230040;419;2017
230040;394.2;2016
230050;1180.2;2020
230050;962.5;2019
230050;962.2;2018
230050;767.5;2017
230050;454;2016
230060;1038.8;2020
230060;772.3;2019
230060;891.5;2018
230060;891.6;2017
230060;503.8;2016
230070;781.2;2020
230070;639.8;2019
230070;664.8;2018
230070;607.7;2017
230070;502.5;2016
230075;1041.1;2020
230075;1267;2019
230075;927.3;2018
230075;859.4;2017
230075;830.5;2016
230080;581;2020
230080;628.1;2019
230080;518.8;2018
230080;546;2017
230080;342.2;2016
230090;957;2020
230090;1126;2019
230090;611.8;2018
230090;734.3;2017
230090;655.1;2016
230100;1916.8;2020
230100;2125;2019
230100;1291.6;2018
230100;1523.5;2017
230100;1133.2;2016
230110;1068.9;2020
230110;996.9;2019
230110;929;2018
230110;646;2017
230110;322.4;2016
230120;1157.2;2020
230120;1010.9;2019
230120;903.1;2018
230120;817.7;2017
230120;589;2016
230125;918.6;2020
230125;1058.3;2019
230125;993.8;2018
230125;794.9;2017
230125;829.4;2016
230130;598.6;2020
230130;744.2;2019
230130;727;2018
230130;545.7;2017
230130;347.8;2016
230140;1079.2;2020
230140;943.1;2019
230140;994.8;2018
230140;1028.9;2017
230140;871.5;2016
230150;832.7;2020
230150;433;2019
230150;623.2;2018
230150;311.1;2017
230150;502.4;2016
230160;911.6;2020
230160;600.2;2019
230160;715.7;2018
230160;627.5;2017
230160;381;2016
230170;1280.4;2020
230170;739.1;2019
230170;1025.2;2018
230170;889.5;2017
230170;581.1;2016
230180;1159.9;2020
230180;864;2019
230180;905;2018
230180;775;2017
230180;846.6;2016
230185;855.4;2020
230185;744.7;2019
230185;613.7;2018
230185;628.3;2017
230185;471.9;2016
230190;1116.7;2020
230190;845.8;2019
230190;1220.6;2018
230190;882.3;2017
230190;783.5;2016
230195;1245.6;2020
230195;1113.8;2019
230195;804.1;2018
230195;1137;2017
230195;275.5;2016
230200;1095.4;2020
230200;701;2019
230200;1078.2;2018
230200;768.3;2017
230200;636.6;2016
230205;1541.5;2020
230205;1935.7;2019
230205;1784.7;2018
230205;1359.9;2017
230205;1004.3;2016
230210;1269;2020
230210;1064.1;2019
230210;978.6;2018
230210;1091.8;2017
230210;658.8;2016
230220;1236.2;2020
230220;1071.4;2019
230220;1037.9;2018
230220;984.9;2017
230220;468.4;2016
230230;1134.7;2020
230230;1532.8;2019
230230;913.1;2018
230230;933.6;2017
230230;652.8;2016
230240;832.1;2020
230240;695.6;2019
230240;618.7;2018
230240;469.6;2017
230240;413.4;2016
230250;1036.6;2020
230250;722.8;2019
230250;1016.4;2018
230250;635.2;2017
230250;443.2;2016
230260;1182.2;2020
230260;1529.4;2019
230260;1301.1;2018
230260;1130.6;2017
230260;874;2016
230270;708.6;2020
230270;518.4;2019
230270;771.8;2018
230270;380.3;2017
230270;341.8;2016
230280;838.1;2020
230280;576.2;2019
230280;624.2;2018
230280;616.7;2017
230280;565.5;2016
230290;1113;2020
230290;1093;2019
230290;810;2018
230290;957;2017
230290;513;2016
230300;810;2020
230300;649.3;2019
230300;731.9;2018
230300;586.8;2017
230300;380;2016
230310;977.4;2020
230310;926.8;2019
230310;743.2;2018
230310;940;2017
230310;707;2016
230320;1143.2;2020
230320;641.1;2019
230320;1133.6;2018
230320;700.6;2017
230320;663.6;2016
230330;1259;2020
230330;778.8;2019
230330;859.6;2018
230330;643.5;2017
230330;404;2016
230340;651.1;2020
230340;700;2019
230340;527.3;2018
230340;265.8;2017
230340;388;2016
230350;1230.7;2020
230350;1382.5;2019
230350;859.2;2018
230350;987.1;2017
230350;676.9;2016
230360;766.2;2020
230360;496.5;2019
230360;697.5;2018
230360;341.4;2017
230360;270;2016
230365;980.2;2020
230365;970.8;2019
230365;657.8;2018
230365;515.6;2017
230365;433.7;2016
230370;1578;2020
230370;1766.9;2019
230370;944.9;2018
230370;1311.3;2017
230370;839.9;2016
230380;1150.7;2020
230380;780.5;2019
230380;1008;2018
230380;814.2;2017
230380;624;2016
230390;1354.1;2020
230390;1493.6;2019
230390;1320;2018
230390;1096;2017
230390;806;2016
230393;467.4;2020
230393;573.2;2019
230393;572.7;2018
230393;776.8;2017
230393;512.6;2016
230395;867.1;2020
230395;1064.4;2019
230395;1064.6;2018
230395;916.2;2017
230395;485;2016
230400;1061.9;2020
230400;1022;2019
230400;895.5;2018
230400;928.6;2017
230400;580.3;2016
230410;1128.7;2020
230410;648.8;2019
230410;719.6;2018
230410;460.2;2017
230410;592.6;2016
230420;1547.8;2020
230420;1164.2;2019
230420;1096.7;2018
230420;850.6;2017
230420;856.1;2016
230423;649.4;2020
230423;595.3;2019
230423;500.3;2018
230423;246.3;2017
230423;354.2;2016
230425;1229.6;2020
230425;1464.5;2019
230425;912.5;2018
230425;835.7;2017
230425;781.4;2016
230426;597.6;2020
230426;723.1;2019
230426;440.8;2018
230426;600.9;2017
230426;450.9;2016
230427;859.3;2020
230427;705;2019
230427;910.3;2018
230427;681.4;2017
230427;570.7;2016
230428;1949;2020
230428;2296;2019
230428;1454;2018
230428;1479.7;2017
230428;1364;2016
230430;1140.4;2020
230430;785.8;2019
230430;1136.1;2018
230430;616.4;2017
230430;490.5;2016
230435;839.1;2020
230435;797.5;2019
230435;843.2;2018
230435;809;2017
230435;542.6;2016
230440;1970.6;2020
230440;2319.3;2019
230440;1545.3;2018
230440;1469;2017
230440;1443.4;2016
230445;1463;2020
230445;1416;2019
230445;1131;2018
230445;956;2017
230445;397;2016
230450;1010.5;2020
230450;1315.5;2019
230450;980;2018
230450;828;2017
230450;685;2016
230460;936.5;2020
230460;845.6;2019
230460;720.8;2018
230460;790.9;2017
230460;567.7;2016
230465;1207;2020
230465;1089.5;2019
230465;1205.5;2018
230465;1085;2017
230465;986;2016
230470;1514.4;2020
230470;1459.9;2019
230470;1549.4;2018
230470;1287.6;2017
230470;970.1;2016
230480;1283.2;2020
230480;642.7;2019
230480;1058.3;2018
230480;706.2;2017
230480;978.8;2016
230490;1010.3;2020
230490;1000.9;2019
230490;668.1;2018
230490;907;2017
230490;638;2016
230495;1263.4;2020
230495;1332.8;2019
230495;979.2;2018
230495;1067;2017
230495;829;2016
230500;759.1;2020
230500;953.5;2019
230500;855.9;2018
230500;581.3;2017
230500;675.9;2016
230510;828.7;2020
230510;1113.2;2019
230510;1359.4;2018
230510;1270.5;2017
230510;1085.9;2016
230520;1051.3;2020
230520;1000.4;2019
230520;1005.9;2018
230520;789.9;2017
230520;508.2;2016
230523;1251.7;2020
230523;1713.6;2019
230523;860.7;2018
230523;1228.5;2017
230523;703.2;2016
230526;863;2020
230526;1018.9;2019
230526;772.2;2018
230526;706.4;2017
230526;441.3;2016
230530;1333.3;2020
230530;1507.3;2019
230530;1485.6;2018
230530;1027.5;2017
230530;1486.6;2016
230533;767.8;2020
230533;767.8;2019
230533;724.6;2018
230533;684.6;2017
230533;284.4;2016
230535;998.2;2020
230535;864.1;2019
230535;1070;2018
230535;599.9;2017
230535;345;2016
230540;677.8;2020
230540;619.3;2019
230540;614.7;2018
230540;511.4;2017
230540;583.7;2016
230550;949.8;2020
230550;693.8;2019
230550;710.3;2018
230550;468.7;2017
230550;722.8;2016
230560;761.5;2020
230560;459.5;2019
230560;586.7;2018
230560;283.6;2017
230560;357.5;2016
230565;705.8;2020
230565;1327;2019
230565;954.1;2018
230565;416.6;2017
230565;637.4;2016
230570;1259;2020
230570;773.5;2019
230570;1050.2;2018
230570;729.8;2017
230570;676.4;2016
230580;937.4;2020
230580;1173.2;2019
230580;1115.2;2018
230580;868.2;2017
230580;641.3;2016
230590;968.6;2020
230590;901;2019
230590;840.9;2018
230590;615.5;2017
230590;579.5;2016
230600;1039.9;2020
230600;903.5;2019
230600;894.1;2018
230600;655.9;2017
230600;559.1;2016
230610;782.4;2020
230610;573.2;2019
230610;621.6;2018
230610;388.9;2017
230610;366.1;2016
230620;981.7;2020
230620;793.3;2019
230620;742.5;2018
230620;831;2017
230620;301.4;2016
230625;1376.3;2020
230625;1853.3;2019
230625;1232.5;2018
230625;1370.4;2017
230625;840;2016
230630;808.3;2020
230630;981;2019
230630;886.9;2018
230630;986.7;2017
230630;812.9;2016
230640;1284.9;2020
230640;1556.5;2019
230640;1171;2018
230640;1158.3;2017
230640;992.5;2016
230650;984.6;2020
230650;732.1;2019
230650;692.2;2018
230650;825.1;2017
230650;392.1;2016
230655;1245.5;2020
230655;1795.4;2019
230655;957.7;2018
230655;954.5;2017
230655;916;2016
230660;651.1;2020
230660;516.6;2019
230660;570.6;2018
230660;458.7;2017
230660;368.6;2016
230670;724.4;2020
230670;533;2019
230670;530.6;2018
230670;543.1;2017
230670;481.9;2016
230680;744.5;2020
230680;778.3;2019
230680;524.5;2018
230680;520.7;2017
230680;586.1;2016
230690;869.7;2020
230690;627.4;2019
230690;586;2018
230690;514.4;2017
230690;455.3;2016
230700;785.3;2020
230700;843.9;2019
230700;633.6;2018
230700;769.3;2017
230700;333.9;2016
230710;1088.1;2020
230710;606.2;2019
230710;801.3;2018
230710;182.9;2017
230710;455;2016
230720;940.4;2020
230720;672.9;2019
230720;689.1;2018
230720;537.5;2017
230720;451.7;2016
230725;1301.2;2020
230725;1905.7;2019
230725;978.4;2018
230725;1017.8;2017
230725;808;2016
230730;993.5;2020
230730;749.9;2019
230730;985.8;2018
230730;771.5;2017
230730;579.6;2016
230740;947.1;2020
230740;571.3;2019
230740;706.6;2018
230740;631.3;2017
230740;372.1;2016
230750;1209.1;2020
230750;854.6;2019
230750;1183.4;2018
230750;891.4;2017
230750;693;2016
230760;878.9;2020
230760;847.9;2019
230760;711.7;2018
230760;694.7;2017
230760;396;2016
230763;617.4;2020
230763;421.6;2019
230763;511.8;2018
230763;511.4;2017
230763;206.4;2016
230765;1518.4;2020
230765;1840.5;2019
230765;1230.1;2018
230765;1442.6;2017
230765;1109.9;2016
230770;1201.5;2020
230770;1025.9;2019
230770;1004.8;2018
230770;1148.5;2017
230770;822;2016
230780;1150.1;2020
230780;1116.2;2019
230780;1146.5;2018
230780;835.5;2017
230780;716.9;2016
230790;1311;2020
230790;1161.3;2019
230790;1346.2;2018
230790;1142.5;2017
230790;925;2016
230800;1094.5;2020
230800;1060;2019
230800;961.9;2018
230800;912.6;2017
230800;666.6;2016
230810;918.5;2020
230810;641;2019
230810;1072.6;2018
230810;551.5;2017
230810;424;2016
230820;1584.4;2020
230820;61.3;2019
230820;1378;2018
230820;1218.3;2017
230820;948.8;2016
230830;1084.5;2020
230830;666.5;2019
230830;1168.5;2018
230830;800;2017
230830;733.2;2016
230835;764.9;2020
230835;640.3;2019
230835;567.4;2018
230835;512.8;2017
230835;620.9;2016
230837;1022.3;2020
230837;660.7;2019
230837;847.9;2018
230837;702.7;2017
230837;582.2;2016
230840;1230;2020
230840;870;2019
230840;1020.4;2018
230840;775.3;2017
230840;748.4;2016
230850;792.7;2020
230850;708.4;2019
230850;583.9;2018
230850;606.8;2017
230850;509.1;2016
230860;835.5;2020
230860;549.6;2019
230860;647.3;2018
230860;409;2017
230860;443.4;2016
230870;808.1;2020
230870;696.5;2019
230870;791.6;2018
230870;581.6;2017
230870;362.9;2016
230880;2967.5;2020
230880;2227;2019
230880;1766;2018
230880;1378;2017
230880;681;2016
230890;996;2020
230890;1064;2019
230890;938;2018
230890;744;2017
230890;603;2016
230900;1024;2020
230900;992;2019
230900;990;2018
230900;909;2017
230900;674;2016
230910;1483.5;2020
230910;1242.9;2019
230910;717;2018
230910;806;2017
230910;561;2016
230920;1096.5;2020
230920;770;2019
230920;820;2018
230920;485;2017
230920;359;2016
230930;1065.1;2020
230930;1211.4;2019
230930;715.2;2018
230930;781.9;2017
230930;841.8;2016
230940;1307.2;2020
230940;700.8;2019
230940;989.7;2018
230940;457.9;2017
230940;577;2016
230945;976.2;2020
230945;941.1;2019
230945;856.1;2018
230945;798.4;2017
230945;636.9;2016
230950;763.3;2020
230950;622;2019
230950;587.2;2018
230950;469.7;2017
230950;635;2016
230960;1145.2;2020
230960;1141;2019
230960;704.2;2018
230960;944;2017
230960;484.3;2016
230970;1607.3;2020
230970;1366.3;2019
230970;1126.3;2018
230970;1504.7;2017
230970;888.9;2016
230980;1411.6;2020
230980;1502.5;2019
230980;1250.9;2018
230980;1356;2017
230980;1171.4;2016
230990;881.7;2020
230990;1143.9;2019
230990;914.2;2018
230990;982.1;2017
230990;653.3;2016
231000;908.8;2020
231000;807.4;2019
231000;614.1;2018
231000;427.7;2017
231000;377.6;2016
231010;1625.6;2020
231010;1725.5;2019
231010;1497.6;2018
231010;737.6;2017
231010;975.9;2016
231020;1730.2;2020
231020;1978.8;2019
231020;1163.1;2018
231020;1218.7;2017
231020;1658.7;2016
231025;1580.8;2020
231025;2454.2;2019
231025;1354.2;2018
231025;1581.1;2017
231025;1324.8;2016
231030;775.9;2020
231030;547.9;2019
231030;546.8;2018
231030;403;2017
231030;409.9;2016
231040;825;2020
231040;776.1;2019
231040;515.1;2018
231040;587.9;2017
231040;433.4;2016
231050;834.7;2020
231050;629.6;2019
231050;622.8;2018
231050;480.5;2017
231050;310.7;2016
231060;843.8;2020
231060;610;2019
231060;621;2018
231060;383.5;2017
231060;505.7;2016
231070;806.8;2020
231070;918.2;2019
231070;761.2;2018
231070;615;2017
231070;477.1;2016
231080;912.4;2020
231080;752.6;2019
231080;937.3;2018
231080;604.5;2017
231080;544.6;2016
231085;1959;2020
231085;1907;2019
231085;1386;2018
231085;1183.6;2017
231085;955;2016
231090;858.5;2020
231090;626;2019
231090;681.3;2018
231090;493.5;2017
231090;509.2;2016
231095;1147.7;2020
231095;1189.6;2019
231095;1073.6;2018
231095;1238;2017
231095;738.4;2016
231100;596;2020
231100;535.7;2019
231100;637.5;2018
231100;461.2;2017
231100;348.8;2016
231110;951;2020
231110;792.1;2019
231110;862.4;2018
231110;666.5;2017
231110;736;2016
231120;869.2;2020
231120;623.3;2019
231120;848.4;2018
231120;477.6;2017
231120;496;2016
231123;667.6;2020
231123;606.5;2019
231123;678.8;2018
231123;537.1;2017
231123;401.7;2016
231126;940.3;2020
231126;594.8;2019
231126;699.9;2018
231126;292.7;2017
231126;573.7;2016
231130;687.3;2020
231130;647.1;2019
231130;715.4;2018
231130;743.3;2017
231130;392.7;2016
231135;712.8;2020
231135;621.1;2019
231135;655.1;2018
231135;655.2;2017
231135;805.7;2016
231140;792;2020
231140;661.6;2019
231140;650.6;2018
231140;626.1;2017
231140;385.6;2016
231150;1155.5;2020
231150;794.8;2019
231150;914.6;2018
231150;664.6;2017
231150;386.7;2016
231160;1502.9;2020
231160;1159;2019
231160;1200.8;2018
231160;1385.3;2017
231160;860.2;2016
231170;1188.6;2020
231170;1102.8;2019
231170;1033.3;2018
231170;935.4;2017
231170;678.7;2016
231180;914.2;2020
231180;821.4;2019
231180;858.1;2018
231180;741.1;2017
231180;536.7;2016
231190;814.9;2020
231190;365.4;2019
231190;537.4;2018
231190;109.3;2017
231190;404.9;2016
231195;655.4;2020
231195;612.8;2019
231195;606.4;2018
231195;316.4;2017
231195;454;2016
231220;951.1;2020
231220;801.1;2019
231220;658.4;2018
231220;588.9;2017
231220;480;2016
231200;1038.6;2020
231200;1189;2019
231200;1064.4;2018
231200;1080.7;2017
231200;628.7;2016
231210;1172.6;2020
231210;1024.8;2019
231210;959.7;2018
231210;515.9;2017
231210;395.3;2016
231230;904.8;2020
231230;1043.3;2019
231230;806.4;2018
231230;733.4;2017
231230;745;2016
231240;1507.6;2020
231240;1737.9;2019
231240;1185.4;2018
231240;1262.3;2017
231240;1176;2016
231250;751.9;2020
231250;699.1;2019
231250;662.6;2018
231250;404;2017
231250;402.7;2016
231260;1055;2020
231260;1152;2019
231260;982;2018
231260;767;2017
231260;650;2016
231270;702.9;2020
231270;709;2019
231270;667.2;2018
231270;590.4;2017
231270;543.5;2016
231280;1332.9;2020
231280;1161.2;2019
231280;1166.7;2018
231280;768.7;2017
231280;736.3;2016
231290;921.7;2020
231290;835.6;2019
231290;547.7;2018
231290;695.8;2017
231290;443.3;2016
231300;677.3;2020
231300;697;2019
231300;502.8;2018
231300;482.9;2017
231300;625.1;2016
231310;951.1;2020
231310;827.1;2019
231310;643.9;2018
231310;570.8;2017
231310;430.4;2016
231320;929.3;2020
231320;665.2;2019
231320;654.8;2018
231320;396;2017
231320;500.7;2016
231325;981.5;2020
231325;595;2019
231325;707.9;2018
231325;652;2017
231325;426;2016
231330;738.6;2020
231330;417.7;2019
231330;519.7;2018
231330;343.2;2017
231330;408.7;2016
231335;807.9;2020
231335;828.6;2019
231335;551.9;2018
231335;740;2017
231335;539.7;2016
231340;1028.9;2020
231340;1145.4;2019
231340;1114.5;2018
231340;926.2;2017
231340;589.2;2016
231350;1288.2;2020
231350;1758.5;2019
231350;1137.7;2018
231350;1278.5;2017
231350;1287.2;2016
231355;766;2020
231355;653;2019
231355;755.8;2018
231355;450.8;2017
231355;429;2016
231360;1293.1;2020
231360;1083.5;2019
231360;1108.5;2018
231360;1080.6;2017
231360;666.9;2016
231370;1098.3;2020
231370;622;2019
231370;835.7;2018
231370;619.6;2017
231370;596.6;2016
231375;965.3;2020
231375;1120;2019
231375;867.6;2018
231375;668.1;2017
231375;492.9;2016
231380;1048.1;2020
231380;1189;2019
231380;1086.6;2018
